County,Facility_Identifier,Population,Scrape_Date,State,Change
Baldwin,AL_Baldwin,572,2020-03-12,AL,-0.01038062283737029
Baldwin,AL_Baldwin,583,2020-03-13,AL,0.01923076923076916
Baldwin,AL_Baldwin,581,2020-03-14,AL,-0.0034305317324184736
Baldwin,AL_Baldwin,582,2020-03-15,AL,0.001721170395869276
Baldwin,AL_Baldwin,587,2020-03-16,AL,0.008591065292096191
Baldwin,AL_Baldwin,553,2020-03-17,AL,-0.05792163543441231
Baldwin,AL_Baldwin,539,2020-03-18,AL,-0.02531645569620256
Baldwin,AL_Baldwin,525,2020-03-19,AL,-0.025974025974025983
Baldwin,AL_Baldwin,511,2020-03-20,AL,-0.026666666666666616
Baldwin,AL_Baldwin,485,2020-03-21,AL,-0.05088062622309197
Baldwin,AL_Baldwin,490,2020-03-22,AL,0.010309278350515427
Baldwin,AL_Baldwin,492,2020-03-23,AL,0.0040816326530612726
Baldwin,AL_Baldwin,480,2020-03-24,AL,-0.024390243902439046
Baldwin,AL_Baldwin,480,2020-03-25,AL,0.0
Baldwin,AL_Baldwin,468,2020-03-26,AL,-0.025000000000000026
Baldwin,AL_Baldwin,466,2020-03-27,AL,-0.0042735042735042575
Baldwin,AL_Baldwin,451,2020-03-28,AL,-0.032188841201716716
Baldwin,AL_Baldwin,457,2020-03-29,AL,0.01330376940133027
Baldwin,AL_Baldwin,461,2020-03-30,AL,0.008752735229759391
Blount,AL_Blount,150,2020-01-01,AL,
Blount,AL_Blount,149,2020-01-02,AL,-0.0066666666666667105
Blount,AL_Blount,148,2020-01-03,AL,-0.0067114093959731455
Blount,AL_Blount,145,2020-01-04,AL,-0.020270270270270285
Blount,AL_Blount,148,2020-01-05,AL,0.020689655172413838
Blount,AL_Blount,145,2020-01-06,AL,-0.020270270270270285
Blount,AL_Blount,144,2020-01-07,AL,-0.006896551724137946
Blount,AL_Blount,149,2020-01-08,AL,0.03472222222222232
Blount,AL_Blount,141,2020-01-09,AL,-0.05369127516778527
Blount,AL_Blount,147,2020-01-10,AL,0.042553191489361764
Blount,AL_Blount,142,2020-01-11,AL,-0.034013605442176915
Blount,AL_Blount,145,2020-01-12,AL,0.021126760563380254
Blount,AL_Blount,141,2020-01-13,AL,-0.027586206896551783
Blount,AL_Blount,140,2020-01-14,AL,-0.007092198581560294
Blount,AL_Blount,143,2020-01-15,AL,0.021428571428571352
Blount,AL_Blount,145,2020-01-16,AL,0.013986013986013957
Blount,AL_Blount,141,2020-01-17,AL,-0.027586206896551783
Blount,AL_Blount,140,2020-01-18,AL,-0.007092198581560294
Blount,AL_Blount,141,2020-01-19,AL,0.007142857142857118
Blount,AL_Blount,146,2020-01-20,AL,0.035460992907801366
Blount,AL_Blount,148,2020-01-21,AL,0.013698630136986356
Blount,AL_Blount,149,2020-01-22,AL,0.0067567567567568
Blount,AL_Blount,153,2020-01-23,AL,0.026845637583892582
Blount,AL_Blount,151,2020-01-24,AL,-0.013071895424836557
Blount,AL_Blount,145,2020-01-25,AL,-0.039735099337748325
Blount,AL_Blount,145,2020-01-26,AL,0.0
Blount,AL_Blount,146,2020-01-27,AL,0.006896551724137946
Blount,AL_Blount,148,2020-01-28,AL,0.013698630136986356
Blount,AL_Blount,154,2020-01-29,AL,0.04054054054054057
Blount,AL_Blount,148,2020-01-30,AL,-0.038961038961038974
