2020-09-03 10:52:04

Population = 0:
Empty DataFrame
Columns: [Scrape_Date, Facility_Identifier, Population, Change]
Index: []


Drastic Change:
Scrape_Date      Facility_Identifier  Population      Change
 2020-07-20       WA_King_Des_Moines         470    0.146341
 2020-07-19                  KS_Reno         140   22.333333
 2020-07-18                 FL_Pasco        1235    5.175000
 2020-07-18               SC_Pickens         213   -0.112500
 2020-07-18               VA_Roanoke         177    0.156863
 2020-07-17             ME_Penobscot         166    0.144828
 2020-07-17              MN_St_Louis         156    0.122302
 2020-07-17                 NE_Sarpy         107    0.126316
 2020-07-16                AL_DeKalb         194    0.141176
 2020-07-16                 IL_Adams         104   -0.111111
 2020-07-16                KY_Leslie         203    0.103261
 2020-07-16                 LA_Caddo        1104         inf
 2020-07-16                  UT_Iron         135    0.125000
 2020-07-16                WA_Skagit         174    0.183673
 2020-07-15                KY_Leslie         184    0.128834
 2020-07-15               KY_Madison         268   -0.129870
 2020-07-15            MD_Dorchester         268   -0.129870
 2020-07-15              SC_Florence         264    1.640000
 2020-07-15               WA_Cowlitz         128    0.103448
 2020-07-14                MN_Wright         107    0.103093
 2020-07-14                UT_Tooele         171   13.250000
 2020-07-14               WA_Cowlitz         116   -0.134328
 2020-07-13                AL_Marion         142   -0.101266
 2020-07-13                AR_Saline         142    0.118110
 2020-07-11                AL_Marion         162    0.109589
 2020-07-11              AL_St_Clair         153    1.125000
 2020-07-11               GA_Jackson         121    0.110092
 2020-07-11         MN_Hennepin_Jail         350   -0.104859
 2020-07-11                 OK_Grady         160    0.111111
 2020-07-11          VA_Northwestern         562   17.733333
 2020-07-10             AL_Talladega         275    0.238739
 2020-07-09              AL_St_Clair         194   -0.145374
 2020-07-09                KY_Carter         113   -0.137405
 2020-07-09                 MS_Jones         137   -0.127389
 2020-07-09                  ND_Cass         232    0.633803
 2020-07-09                 NV_Clark        3310   -0.196017
 2020-07-09                 SC_Aiken         391   -0.301786
 2020-07-08       NV_Clark_Henderson         310   -0.104046
 2020-07-08              OH_Pickaway         101   -0.106195
 2020-07-08                WA_Kitsap         201   -0.110619
 2020-07-07             MI_Kalamazoo         145    0.106870
 2020-07-07          WA_Grays_Harbor         123   -0.121429
 2020-07-07       WA_King_Des_Moines         359   -0.102500
 2020-07-07              WI_Chippewa         119    0.112150
 2020-07-06            NC_Cumberland         498    7.163934
 2020-07-06              NM_Sandoval         112    0.142857
 2020-07-06        VA_Virginia_Beach        1142    3.758333
 2020-07-05                 OK_Grady         144    0.125000
 2020-07-04              MN_St_Louis         137    0.122951
 2020-07-04               VA_Roanoke         155    0.107143
 2020-07-03                FL_DeSoto         162    0.620000
 2020-07-03                  NM_Luna         271    0.101626
 2020-07-03                 OK_Grady         128   -0.111111
 2020-07-02               AL_Houston         322    2.220000
 2020-07-02                   AL_Lee         289    1.890000
 2020-07-02             AL_Talladega         219    1.190000
 2020-07-02                AR_Benton         374    2.740000
 2020-07-02             CA_Mendocino         245    0.225000
 2020-07-02              NC_Carteret         113    0.130000
 2020-07-02                NC_Gaston         129   -0.711409
 2020-07-02               NC_Sampson         167    0.670000
 2020-07-02             NV_Las_Vegas         245   -0.109091
 2020-07-02                 OH_Lucas         101    0.262500
 2020-07-02                 TN_Wayne         125    0.250000
 2020-07-02               TX_Midland         349   -0.116456
 2020-07-02                  TX_Polk         158    0.580000
 2020-07-02              TX_Rockwall         219    1.190000
