County,Population,Scrape_Date,State,Facility_Identifier
Blount,136,2020-02-20,AL,AL_Blount
Blount,135,2020-02-21,AL,AL_Blount
Blount,131,2020-02-22,AL,AL_Blount
Blount,134,2020-02-23,AL,AL_Blount
Blount,131,2020-02-24,AL,AL_Blount
Blount,134,2020-02-25,AL,AL_Blount
Blount,132,2020-02-26,AL,AL_Blount
Blount,139,2020-02-27,AL,AL_Blount
Blount,137,2020-02-28,AL,AL_Blount
Blount,124,2020-03-04,AL,AL_Blount
Blount,121,2020-03-05,AL,AL_Blount
Blount,118,2020-03-06,AL,AL_Blount
Blount,125,2020-03-07,AL,AL_Blount
Blount,125,2020-03-08,AL,AL_Blount
Blount,125,2020-03-09,AL,AL_Blount
Blount,125,2020-03-10,AL,AL_Blount
Blount,124,2020-03-11,AL,AL_Blount
Blount,127,2020-03-12,AL,AL_Blount
Blount,125,2020-03-13,AL,AL_Blount
Blount,129,2020-03-14,AL,AL_Blount
Blount,132,2020-03-15,AL,AL_Blount
Chambers,132,2020-03-05,AL,AL_Chambers
Chambers,130,2020-03-06,AL,AL_Chambers
Chambers,134,2020-03-07,AL,AL_Chambers
Chambers,133,2020-03-08,AL,AL_Chambers
Chambers,135,2020-03-09,AL,AL_Chambers
Chambers,134,2020-03-10,AL,AL_Chambers
Chambers,135,2020-03-11,AL,AL_Chambers
Chambers,134,2020-03-12,AL,AL_Chambers
Chambers,135,2020-03-13,AL,AL_Chambers
Cherokee,122,2020-01-01,AL,AL_Cherokee
Cherokee,124,2020-01-02,AL,AL_Cherokee
Cherokee,121,2020-01-03,AL,AL_Cherokee
Cherokee,122,2020-01-04,AL,AL_Cherokee
Cherokee,123,2020-01-05,AL,AL_Cherokee
Cherokee,125,2020-01-06,AL,AL_Cherokee
Cherokee,122,2020-01-07,AL,AL_Cherokee
Cherokee,125,2020-01-08,AL,AL_Cherokee
Cherokee,124,2020-01-09,AL,AL_Cherokee
Cherokee,130,2020-01-10,AL,AL_Cherokee
Cherokee,133,2020-01-11,AL,AL_Cherokee
Cherokee,134,2020-01-12,AL,AL_Cherokee
Cherokee,136,2020-01-13,AL,AL_Cherokee
Cherokee,136,2020-01-14,AL,AL_Cherokee
Cherokee,138,2020-01-15,AL,AL_Cherokee
Cherokee,142,2020-01-16,AL,AL_Cherokee
Cherokee,135,2020-01-17,AL,AL_Cherokee
Cherokee,126,2020-01-18,AL,AL_Cherokee
Cherokee,124,2020-01-19,AL,AL_Cherokee
Cherokee,124,2020-01-20,AL,AL_Cherokee
Cherokee,126,2020-01-21,AL,AL_Cherokee
Cherokee,124,2020-01-22,AL,AL_Cherokee
Cherokee,123,2020-01-23,AL,AL_Cherokee
Cherokee,123,2020-01-24,AL,AL_Cherokee
Cherokee,127,2020-01-25,AL,AL_Cherokee
Cherokee,120,2020-01-26,AL,AL_Cherokee
Cherokee,121,2020-01-27,AL,AL_Cherokee
Cherokee,122,2020-01-28,AL,AL_Cherokee
Cherokee,125,2020-01-29,AL,AL_Cherokee
Cherokee,125,2020-01-30,AL,AL_Cherokee
Cherokee,121,2020-01-31,AL,AL_Cherokee
Cherokee,125,2020-02-01,AL,AL_Cherokee
Cherokee,123,2020-02-02,AL,AL_Cherokee
Cherokee,122,2020-02-03,AL,AL_Cherokee
Cherokee,110,2020-02-04,AL,AL_Cherokee
Cherokee,113,2020-02-05,AL,AL_Cherokee
Cherokee,115,2020-02-06,AL,AL_Cherokee
Cherokee,114,2020-02-07,AL,AL_Cherokee
Cherokee,118,2020-02-08,AL,AL_Cherokee
Cherokee,117,2020-02-11,AL,AL_Cherokee
Cherokee,118,2020-02-12,AL,AL_Cherokee
Cherokee,121,2020-02-13,AL,AL_Cherokee
Cherokee,116,2020-02-14,AL,AL_Cherokee
Cherokee,119,2020-02-15,AL,AL_Cherokee
Cherokee,117,2020-02-16,AL,AL_Cherokee
Cherokee,120,2020-02-17,AL,AL_Cherokee
Cherokee,123,2020-02-18,AL,AL_Cherokee
Cherokee,122,2020-02-19,AL,AL_Cherokee
Cherokee,125,2020-02-20,AL,AL_Cherokee
Cherokee,122,2020-02-21,AL,AL_Cherokee
Cherokee,122,2020-02-22,AL,AL_Cherokee
Cherokee,125,2020-02-23,AL,AL_Cherokee
Cherokee,124,2020-02-24,AL,AL_Cherokee
Cherokee,120,2020-02-25,AL,AL_Cherokee
Cherokee,117,2020-02-26,AL,AL_Cherokee
Cherokee,117,2020-02-27,AL,AL_Cherokee
Cherokee,109,2020-02-28,AL,AL_Cherokee
Cherokee,106,2020-03-04,AL,AL_Cherokee
Cherokee,106,2020-03-05,AL,AL_Cherokee
Cherokee,109,2020-03-06,AL,AL_Cherokee
Cherokee,111,2020-03-07,AL,AL_Cherokee
Cherokee,113,2020-03-08,AL,AL_Cherokee
Cherokee,113,2020-03-09,AL,AL_Cherokee
Cherokee,110,2020-03-10,AL,AL_Cherokee
Cherokee,115,2020-03-11,AL,AL_Cherokee
Cherokee,121,2020-03-12,AL,AL_Cherokee
Cherokee,122,2020-03-13,AL,AL_Cherokee
Cherokee,123,2020-03-15,AL,AL_Cherokee
Chilton,237,2020-01-23,AL,AL_Chilton
Chilton,236,2020-01-24,AL,AL_Chilton
Chilton,245,2020-01-25,AL,AL_Chilton
Chilton,246,2020-01-26,AL,AL_Chilton
Chilton,244,2020-01-27,AL,AL_Chilton
Chilton,245,2020-01-28,AL,AL_Chilton
Chilton,239,2020-01-29,AL,AL_Chilton
Chilton,234,2020-01-31,AL,AL_Chilton
Chilton,233,2020-02-01,AL,AL_Chilton
Chilton,238,2020-02-02,AL,AL_Chilton
Chilton,236,2020-02-03,AL,AL_Chilton
Chilton,233,2020-02-04,AL,AL_Chilton
Chilton,222,2020-02-05,AL,AL_Chilton
